original_title,production_companies
The Adventures of Pluto Nash, Mel's Cite du Cinema
Carol, Film4
Bringing Down The House, Touchstone Pictures
Basic Instinct 2, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
Terminator Salvation,Columbia Pictures
Bride Wars, Regency Enterprises
Underworld: Awakening,Lakeshore Entertainment
Big Momma's House 2, Deep River Productions
Annapolis,Touchstone Pictures
Suspect Zero, Cruise/Wagner Productions
Transcendence, Straight Up Films
Krampus, Legendary Pictures
Looper, FilmDistrict
The Interpreter, Working Title Films
Be Cool,Double Feature Films
Black Hawk Down, Scott Free Productions
Armored, Stars Road Entertainment
The Hunger Games, Color Force
Armored, Buckaroo Entertainment
Predators, Troublemaker Studios
White Noise, Canadian Film or Video Production Tax Credit (CPTC)
The Grudge 2,Columbia Pictures Corporation
The Intern,Waverly Films
The Butler,Laura Ziskin Productions
Space Cowboys, Warner Bros.
The Adventures of Rocky & Bullwinkle, Tribeca Productions
Captivity,Foresight Unlimited
Calendar Girls, Touchstone Pictures
The Switch, Bona Fide Productions
Skyline,Rogue Pictures
Happy Feet Two,Village Roadshow Pictures
The Devil's Double, Staccato Films
Skyline, Transmission Pictures
Saw V, Twisted Pictures
The League of Extraordinary Gentlemen, JD Productions
Death Race, Scion Films
Just Married, Robert Simonds Productions
Disconnect, Exclusive Media Group
Lions for Lambs, Wildwood Enterprises
The Ghost Writer, Runteam Ltd.
Sahara, Bristol Bay Productions
The Family, TF1 Films Production
Spy, Feigco Entertainment
"You, Me and Dupree", MMCB Film Produktion 2004
Jumping the Broom, Stage 6 Films
The Sentinel, Epsilon Motion Pictures
Runner Runner, Appian Way
The Grudge 3,Ghost House Pictures
Beastly, Storefront Films
What Women Want,Paramount Pictures
The Flintstones in Viva Rock Vegas, Amblin Entertainment
Be Cool, Nina Saxon Film Design
An Unfinished Life,Miramax Films
Hoodwinked!, Kanbar Entertainment
Diana, Filmgate Films
War of the Worlds, Amblin Entertainment
The Jacket, VIP 3 Medienfonds
Pirates of the Caribbean: At World's End, Second Mate Productions
Two Weeks Notice, Fortis Films
Don't Say a Word, Regency Enterprises
Turbo,DreamWorks Animation
Ex Machina,DNA Films
Jack Reacher, TC Productions
Memoirs of a Geisha, Red Wagon Productions
The SpongeBob Movie: Sponge Out of Water, Nickelodeon Movies
Happy Feet, Kingdom Feature Productions
Angel Eyes, Morgan Creek Productions
Date Night,Twentieth Century Fox Film Corporation
Crank: High Voltage, Lionsgate
The Amityville Horror, Metro-Goldwyn-Mayer (MGM)
Hidalgo, Touchstone Pictures
Blade II,New Line Cinema
Alpha and Omega,Lions Gate Family Entertainment
Burke & Hare, Prescience
Daddy Day Care,Columbia Pictures
Vanity Fair,Alliance Films
Things We Lost in the Fire, DreamWorks Pictures
That Awkward Moment,Treehouse Pictures
Brideshead Revisited, Ecosse Films
Conviction, Innocence Productions
The Brothers Grimm, Reforma Films
Walking With Dinosaurs,20th Century Fox
Live Free or Die Hard, Wintergreen Productions
Torque, Original Film
"10,000 BC", Legendary Pictures
American Hustle,Columbia Pictures
12 Years a Slave, Regency Enterprises
Austin Powers in Goldmember, Eric's Boy
A Perfect Getaway, Relativity Media
Lucky Number Slevin, Capitol Films
The Monuments Men, Obelisk Productions
"10,000 BC", The Department of Trade and Industry of South Africa
My Best Friend's Girl, Management 360
The Constant Gardener,Studio Babelsberg
Ocean's Thirteen, Warner Bros.
A Sound of Thunder, Dante Entertainment
Lord of War, Rising Star
Mystic River, NPV Entertainment
Upside Down, France 2 CinÃ©ma
Red Dragon, Metro-Goldwyn-Mayer (MGM)
Stuart Little 2,Columbia Pictures
Mandela: Long Walk to Freedom, Videovision Entertainment
The Wrestler, Wild Bunch
Sex and the City,New Line Cinema
Jem and the Holograms, Blumhouse Productions
Eight Below,Walt Disney Pictures
"O Brother, Where Art Thou?", Touchstone Pictures
Child 44, Scott Free Productions
Child 44, Worldview Entertainment
Dallas Buyers Club, Universal Pictures
It's Complicated, Waverly Films
Parker,SND
John Tucker Must Die,Twentieth Century Fox Film Corporation
Road to Perdition, The Zanuck Company
Big Fish,The Zanuck Company
The Eagle, Prime Focus
The Prince, Oasis Films
Winter's Tale,Village Roadshow Pictures
127 Hours, Dune Entertainment
The Internship, Wild West Picture Show Productions
The Chronicles of Narnia: The Voyage of the Dawn Treader, Fox 2000 Pictures
Reindeer Games, Marty Katz Productions
Fantastic Four,Twentieth Century Fox Film Corporation
Without a Paddle,Paramount Pictures
Seabiscuit, The Kennedy/Marshall Company
The Day the Earth Stood Still,Twentieth Century Fox Film Corporation
The Number 23, Firm Films
Dan in Real Life, Focus Features
The Dark Knight Rises, Warner Bros.
Armored, Farah Films & Management
The Monuments Men, Studio Babelsberg
Death Sentence, Hyde Park Entertainment
Dracula 2000, Dimension Films
John Tucker Must Die, Dune Entertainment
Gigli,City Light Films
Invictus, Warner Bros.
Cats & Dogs, Mad Chance
Chicago, Producers Circle
Monte Carlo, Fox 2000 Pictures
Peter Pan,Columbia Pictures
The Sitter,Twentieth Century Fox Film Corporation
DodgeBall: A True Underdog Story, Mediastream Vierte Film GmbH & Co. Vermarktungs KG
I Love You Phillip Morris,EuropaCorp
Hannibal Rising, Quinta Communications
Romeo Must Die,Silver Pictures
Alvin and the Chipmunks,Dune Entertainment
Clash of the Titans,The Zanuck Company
Ladder 49, Touchstone Pictures
Yes Man, Warner Bros.
Dreamgirls, Laurence Mark Productions
My Life in Ruins, 26 Films
The Hitchhiker's Guide to the Galaxy, Touchstone Pictures
"Big Mommas: Like Father, Like Son", Regency Enterprises
Forgetting Sarah Marshall,Universal Pictures
The Pianist, Studio Babelsberg
Pixels,Columbia Pictures
The Water Diviner, Fear of God Films
American Dreamz, Depth of Field
Catwoman, Maple Shade Films
Alpha and Omega, Crest Animation Productions
Juno,Fox Searchlight Pictures
A Serious Man, Studio Canal
Dracula Untold, Dentsu
Safe, Trigger Street Productions
The Brothers Grimm, Atlas Entertainment
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", Walden Media
Runner Runner, Stone Village Pictures
The Crazies, Imagenation Abu Dhabi FZ
The Back-Up Plan,Escape Artists
Wall Street: Money Never Sleeps,Twentieth Century Fox Film Corporation
How Do You Know,Columbia Pictures
Carnage, Zanagar Films
Marie Antoinette, Pricel
Evil Dead,TriStar Pictures
Agent Cody Banks 2: Destination London,Splendid Pictures
The Railway Man, Silver Reel
The Good Dinosaur, Buena Vista
"Big Mommas: Like Father, Like Son", Runteldat Entertainment
The Hills Have Eyes,Dune Entertainment
The Weather Man, Escape Artists
The Invention of Lying,Media Rights Capital
Harry Potter and the Order of the Phoenix, Heyday Films
Basic,Intermedia Films
Flightplan, Touchstone Pictures
Brooklyn's Finest,Nu Image Films
Smokin' Aces, Relativity Media
Dr. Dolittle 2,Twentieth Century Fox Film Corporation
Crocodile Dundee in Los Angeles,Bungalow Productions
Into the Wild, Art Linson Productions
The Fog, Debra Hill Productions
If I Stay,New Line Cinema
Tammy, Gary Sanchez Productions
TRON: Legacy, Revolution Sun Studios
Drive Angry, Michael De Luca Productions
Saw V,Lionsgate
The Haunted Mansion, Gunn Films
Max Keeble's Big Move, Karz Entertainment
Edge of Tomorrow, Viz Media
Prisoners, 8:38 Productions
Knight and Day, Pink Machine
Assault on Precinct 13, Liaison Films
Atlas Shrugged Part I,Atlas Productions
Green Zone, Relativity Media
The Boat That Rocked, Working Title Films
Smokin' Aces, StudioCanal
The Twilight Saga: Breaking Dawn - Part 2,Summit Entertainment
Your Highness, Stuber Productions
Funny People, Happy Madison Productions
Hachi: A Dog's Tale, Scion Films
42,Warner Bros.
Queen of the Damned, NPV Entertainment
Supernova, Metro-Goldwyn-Mayer (MGM)
Zack and Miri Make a Porno, View Askew Productions
Tower Heist,Universal Pictures
Mission: Impossible - Ghost Protocol, Skydance Productions
Nick and Norah's Infinite Playlist, Mandate Pictures
Cosmopolis,France 2 CinÃ©ma
Dirty Dancing: Havana Nights,Miramax Films
Leap Year, Octagon Films
Elf, Gold/Miller Productions
Get Carter, Warner Bros.
Dragonfly, Gran Via Productions
The Four Feathers, Jaffilms Inc.
Are We There Yet?, Revolution Studios
Solitary Man, Paul Schiff Productions
Lemony Snicket's A Series of Unfortunate Events, DreamWorks Pictures
The Simpsons Movie,Gracie Films
The International, Atlas Entertainment
Nanny McPhee and the Big Bang,Universal Pictures
The Girl Next Door, New Regency Pictures
Tears of the Sun, Michael Lobell Productions
House of the Dead, Brightlight Pictures
Lo imposible, Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA)
Fury, Huayi Brothers Media
4: Rise of the Silver Surfer,Ingenious Film Partners
The Secret Life of Walter Mitty, Twentieth Century Fox Film Corporation
The Gambler, Winkler Films
Machete Kills, AR Films
Saving Silverman,Village Roadshow Pictures
The Texas Chainsaw Massacre,New Line Cinema
Brick Mansions,Canal+
X-Men Origins: Wolverine, Seed Productions
The Happening, Dune Entertainment
The Wrestler, Top Rope
Cold Mountain, Mirage Enterprises
Music and Lyrics, Castle Rock Entertainment
Man of Steel,Legendary Pictures
Me and Orson Welles, Freestyle Releasing
Hansel & Gretel: Witch Hunters, Studio Babelsberg
Madagascar,DreamWorks SKG
Chloe,StudioCanal
Akeelah and the Bee, Starbucks Entertainment
The Wolverine, Big Screen Productions
Collateral Damage,David Foster Productions
Fun with Dick and Jane, JC 23 Entertainment
Murder by Numbers, Warner Bros. Pictures
The SpongeBob SquarePants Movie, Paramount Animation
Wild Target, Cinema Four
The Whole Ten Yards,Cheyenne Enterprises
Ender's Game, Digital Domain
Percy Jackson: Sea of Monsters, Fox 2000 Pictures
Jarhead, Red Wagon Entertainment
Slackers, Screen Gems
Igor, Exodus Productions
The Lone Ranger, Blind Wink Productions
Resident Evil: Extinction,Impact Pictures
Ella Enchanted,Miramax Films
Killer Elite,Current Entertainment
Blood Diamond, Lonely Film Productions GmbH & Co. KG.
Sabotage, QED International
Abduction, Mango Farms
Man of Steel, Cruel and Unusual Films
The Pianist, Canal+Polska
Old Dogs, Tapestry Films
Project Almanac,Paramount Pictures
While We're Young,Scott Rudin Productions
Garfield, Davis Entertainment
Alone in the Dark, Brightlight Pictures
Never Back Down, Mandalay Pictures
All the King's Men, Phoenix Pictures
Scott Pilgrim vs. the World, Marc Platt Productions
Ladder 49,Casey Silver Productions
Good Luck Chuck, Karz Entertainment
The Number 23,New Line Cinema
How to Lose Friends & Alienate People,UK Film Council
3 Idiots,Vidhu Vinod Chopra Productions
The Water Diviner, Seven West Media
Winnie the Pooh,Walt Disney Pictures
The Devil's Double, Corsan
Date Night, 21 Laps Entertainment
12 Years a Slave, River Road Entertainment
Shutter Island, Appian Way
Transformers: Dark of the Moon, Di Bonaventura Pictures
The Lovely Bones, Film4
Space Chimps,Starz Media
Meet Dave,20th Century Fox
I'm Not There., Dreamachine
The Way Back, Exclusive Films
Epic Movie, New Regency Pictures
Now You See Me,Summit Entertainment
12 Rounds, WWE Studios
Life of Pi,Ingenious Film Partners
Need for Speed,DreamWorks SKG
The Legend of Bagger Vance, Allied Filmmakers
Philomena, The Weinstein Company
The Iron Lady, PathÃ©
Drag Me to Hell, Mandate Pictures
The Twilight Saga: Breaking Dawn - Part 1, TSBD Canada Productions
About Last Night, Olive Bridge Entertainment
Fur: An Imaginary Portrait of Diane Arbus, Iron Film
Night at the Museum, 1492 Pictures
Noah,Paramount Pictures
Disconnect,Lionsgate
Next,Paramount Pictures
Get Hard,Gary Sanchez Productions
Never Back Down, Baumgarten Management and Productions (BMP)
The Fountain,Regency Enterprises
Just My Luck, Cheyenne Enterprises
Self/less, Ram Bergman Productions
Star Wars: Episode III - Revenge of the Sith,Lucasfilm
Last Vegas,Laurence Mark Productions
Kiss of the Dragon,Twentieth Century Fox Film Corporation
Wall Street: Money Never Sleeps, Edward R. Pressman Film
Sherlock Holmes: A Game of Shadows, Silver Pictures
Million Dollar Baby, Warner Bros.
The Call, Troika Pictures
Harry Potter and the Goblet of Fire, Warner Bros.
Love in the Time of Cholera,New Line Cinema
Hoodwinked Too! Hood VS. Evil,HW Two
Mutant Chronicles,Isle of Man Film
Footloose, MTV Films
Love & Other Drugs, Regency Enterprises
Head Over Heels,Universal Studios
Ã†on Flux, Lakeshore Entertainment
The Rover, FilmNation Entertainment
A Perfect Getaway, Rogue
The Great Debaters, Harpo Films
The Bourne Supremacy, Motion Picture THETA Produktionsgesellschaft
The Wild, C.O.R.E. Feature Animation
Legend of the Guardians: The Owls of Ga'Hoole, Cruel and Unusual Films
The Little Prince, CityMation
50 First Dates, Flower Films (II)
The Wedding Planner, Intermedia Films
Going the Distance, Offspring Entertainment
Avatar, Twentieth Century Fox Film Corporation
The Curious Case of Benjamin Button, The
Around the World in 80 Days, 80 Days Productions
The Secret Life of Walter Mitty, Samuel Goldwyn Films
My Week with Marilyn, Lip Sync Post
End of Watch, Hedge Fund Film Partners
Crocodile Dundee in Los Angeles, Silver Lion Films
Hercules, Radical Studios
Cats & Dogs, NPV Entertainment
Arbitrage, Lucky Monkey Pictures
Planet 51, Ilion Animation Studios
Inside Out, Pixar Animation Studios
Unfinished Business,Studio Babelsberg
Blade: Trinity, Marvel Enterprises
Resident Evil: Apocalypse,Impact Pictures
Frailty, American Entertainment Partners L.P.
Home on the Range, Walt Disney Feature Animation
Vantage Point, Art In Motion
Aloha, Sony Pictures Entertainment (SPE)
Coach Carter, Tollin/Robbins Productions
In the Valley of Elah, Samuels Media
The House Bunny, Relativity Media
Attack the Block, Studio Canal
Beowulf, Paramount Animation
Pacific Rim,Legendary Pictures
The Peanuts Movie, Twentieth Century Fox Animation
Indiana Jones and the Kingdom of the Crystal Skull,Lucasfilm
Resident Evil: Afterlife, Davis-Films
Cinderella Man, Universal Pictures
Think Like a Man, Studio Mir
World Trade Center,Paramount Pictures
Oculus, Relativity Media
Dark Shadows, Tim Burton Productions
The Machinist, Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA)
Battle: Los Angeles,Columbia Pictures
Stuart Little 2, Sony Pictures Entertainment
Atonement, Relativity Media
The Brothers Bloom, Summit Entertainment
Lords of Dogtown, TriStar Pictures
Dinosaur, Walt Disney Feature Animation
Swimming Pool, Canal Plus
Inglourious Basterds, Visiona Romantica
Supernova, Hammerhead Productions
In Time,Regency Enterprises
Be Cool, Metro-Goldwyn-Mayer (MGM)
Ghost Rider, Relativity Media
Doomsday,Rogue Pictures
Hot Pursuit, Pacific Standard
Step Up, Eketahuna LLC
The Hateful Eight, The Weinstein Company
Sweet Home Alabama,Touchstone Pictures
Yogi Bear,De Line Pictures
Pineapple Express, Apatow Productions
Hostage, Yari Film Group
Final Destination 3, Matinee Pictures
Serving Sara,Paramount Pictures
Bullet to the Head, Automatik Entertainment
Alex & Emma, Franchise Pictures
Bedtime Stories, Gunn Films
Dumb and Dumber To, Red Granite Pictures
Auto Focus,Sony Pictures Classics
The Assassination of Jesse James by the Coward Robert Ford, Scott Free Productions
Elysium, Alpha Core
Fury,Columbia Pictures
Boys and Girls,Dimension Films
Saw III,Lions Gate Films
It's Complicated, Relativity Media
RED, DC Entertainment
Bridge to Terabithia,Walden Media
The Grey, Open Road Films
Lemony Snicket's A Series of Unfortunate Events, Scott Rudin Productions
Vantage Point, Relativity Media
Zookeeper, Sony Pictures Releasing
The Invention of Lying, Lin Pictures
The Hurt Locker, Kingsgate Films
The Hunger Games: Mockingjay - Part 2, StudioCanal
Tropic Thunder, Red Hour Films
22 Jump Street, Original Film
Gravity, Esperanto Filmoj
A Scanner Darkly, Section Eight Productions
Larry Crowne,Universal Pictures
Charlie's Angels,Columbia Pictures
Virgin Territory, Zephyr Films
The Gift,Lakeshore Entertainment
No Country for Old Men, Paramount Vantage
Panic Room,Columbia Pictures Corporation
Burn After Reading, Studio Canal
Gran Torino, Malpaso Productions
Showtime, Warner Bros.
Push, Summit Entertainment
Tears of the Sun, Revolution Studios
Public Enemies, Dentsu
Frankenweenie,Walt Disney Pictures
The Secret Life of Walter Mitty, Big Screen Productions
Trumbo, ShivHans Pictures
Cloud Atlas, Ascension Pictures
Evan Almighty,Columbia Pictures
Harry Potter and the Order of the Phoenix,Cool Music
Ocean's Twelve, WV Films III
Clash of the Titans, Warner Bros.
Brothers, Sighvatsson Films
Dancer in the Dark, Danmarks Radio (DR)
Homefront, Open Road Films
My Soul to Take,Relativity Media
"O Brother, Where Art Thou?",Universal Pictures
